id;winner_player_id;date
cc2cac7c-e3fd-467c-a060-40c424e2360f;9b79d32f-298b-4df8-98af-45afde7776b7;2023-02-04
a7ebb170-cc7a-46a8-8d88-6f4d60f5093e;939ced52-0378-4bf3-9899-7fc19ca5ae53;2023-02-04
b38220a0-f9b2-42c7-bb16-4381952505c3;a98612df-9884-4561-88c0-e659a4580c06;2023-02-04
9cec7f14-2ed7-46dd-8f8e-bab192dc46a4;f00832c5-6c21-4cad-a084-120aa0c45d20;2023-02-04
9e889e51-7e3a-44a4-94cd-4b6311dc20ea;90b2df9e-fbd8-4b91-b3ba-331d53f4ad02;2023-02-04
5a3dad08-56e2-4600-a6d2-f79e3a49ef5a;03a7efed-bccd-48f4-a881-ef4e1d2223d8;2023-02-05
971a3dc8-802e-4e8a-bbd9-a5d833d88249;1e324d93-16ca-47b0-834b-8de86ecc3258;2023-02-04
84249d16-5450-4da8-bc0c-41463aa94b56;e2a92e30-b3dc-4265-b4fd-87801322d34b;2023-02-04
db067443-f0d4-4cd4-9230-1d05cf62100d;b3abc4b2-317f-405b-b8f3-85d3ff24a234;2023-02-04
5c53a16a-8fee-4ecc-a2c8-dcc027ee04ae;0829fd28-e8ed-441a-b47d-0810c83194eb;2023-02-04
