id;game_id;player_id;first_dice;middle_dice;last_dice
279f2437-9b0b-423b-b8e3-937ca4dadf25;c7b00ca8-4dc9-4273-b5ff-fb9e96163c6b;28a83672-9078-4d35-a588-544a0e85dcdd;6;3;1
5ed1e1c4-d3d1-4eb6-8a5a-dd287e15a7ca;d843a227-60f9-4743-ad02-4550e33355e3;fccf8e45-fcc4-4eff-b573-23994fb9d08b;2;1;1
b44c04f6-f921-4831-a9dd-8910c15344cf;4db8f953-68ed-4b07-b333-dc5071b62850;8c4fde3d-73e5-47b0-9b8e-b5fdfc1f155e;5;5;5
1eef3d8c-5e55-492d-a577-06db28bdf7b5;ca536371-d122-454c-9e94-27f0e5ea1995;24b7e53a-a9a8-4bd8-bccb-8e81a155fa3a;4;3;4
9eab721f-3715-414a-9fb2-59f37b7ef180;223d089f-4181-4e0b-bd9e-cb91b4b62ea3;8a9db428-edb1-4f4f-9cc9-c663a5a85290;2;5;1
ee9562af-d04d-4b27-9a90-43bfebfeee3e;74513470-94ea-4442-b9fb-023d7a934c60;abebdc2f-d82f-42ac-a2a3-e844cb3005fb;6;2;2
e3ba8477-91ac-4457-a2c6-c99386817804;36a0addc-1022-41ce-a8cb-4bdbf53e7729;8be037de-b7cc-49c1-9158-26f0bcdcc678;2;2;1
7a792988-70e4-4dd3-9a88-063f76453c84;0096cd2c-6e3b-4f16-a724-9c7bdb2f4823;f2e114fb-3524-4d74-8e06-4984debaa46e;4;1;1
9c0b63b1-a639-4df8-9673-36e70d57b3af;ecb121bd-2591-4fae-8e3b-64c19a499e30;e96cd1d5-b6f3-499c-b746-ab0c2f9c183a;3;1;4
280ad930-8548-497a-91cf-185735ef818a;8bbe51bc-f684-4a14-9c3d-8574de11dc8a;bd1069d8-59b6-4032-8ea3-dc652df6e50f;2;2;3
